s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-2.0256552E-004,-6.5793244E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0256618E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 1.0212040E+000, 5.6679346E+001,-1.6832988E+001,-7.4644516E-003,-4.0862345E-001,-4.2311801E-003, 1.4524237E+001, 0.0000000E+000, 4.7266609E+001, 5.3950277E+001, 0.0000000E+000, 1.5134172E-003, 0.0000000E+000, 3.8143307E+002
 2.0029566E+000, 1.3185022E+002,-3.2993978E+001,-1.6181721E-002,-1.0162491E+000,-8.2213292E-003, 3.8896724E+001, 0.0000000E+000, 1.3599020E+002, 1.3671231E+002, 0.0000000E+000, 2.8782405E-003, 0.0000000E+000, 1.4410843E+003
 3.0026000E+000, 1.4159332E+002,-3.4410214E+001,-1.7090207E-002,-2.9955356E+000,-9.1792504E-003, 4.1669309E+001, 0.0000000E+000, 1.4585535E+002, 1.4583061E+002, 0.0000000E+000, 3.1615693E-003, 0.0000000E+000, 2.6009278E+003
 4.0003572E+000, 1.4338751E+002,-3.4700039E+001,-1.7086321E-002,-9.1756868E+000,-9.4679573E-003, 4.0030629E+001, 0.0000000E+000, 1.3953458E+002, 1.3951586E+002, 0.0000000E+000, 3.2041917E-003, 0.0000000E+000, 3.7130673E+003
 5.0032506E+000, 1.4409151E+002,-3.4683809E+001,-1.6953087E-002,-1.1133440E+001,-9.6535751E-003, 3.9671709E+001, 0.0000000E+000, 1.3790199E+002, 1.3791936E+002, 0.0000000E+000, 3.2100304E-003, 0.0000000E+000, 4.8206395E+003
 6.0134497E+000, 1.4416545E+002,-3.5537341E+001,-1.7172980E-002,-1.1432443E+001,-9.4646267E-003, 3.9122511E+001, 0.0000000E+000, 1.3632530E+002, 1.3629154E+002, 0.0000000E+000, 3.2108235E-003, 0.0000000E+000, 5.9210532E+003
 7.0080853E+000, 1.4404364E+002,-3.5948367E+001,-1.7197606E-002,-1.2139017E+001,-9.4148882E-003, 3.8497249E+001, 0.0000000E+000, 1.3447804E+002, 1.3442690E+002, 0.0000000E+000, 3.2109296E-003, 0.0000000E+000, 6.9873137E+003
 8.0127897E+000, 1.4399221E+002,-3.6094816E+001,-1.7018164E-002,-1.3823752E+001,-9.5916263E-003, 3.7819700E+001, 0.0000000E+000, 1.3186718E+002, 1.3186674E+002, 0.0000000E+000, 3.2109438E-003, 0.0000000E+000, 8.0452070E+003
 9.0039091E+000, 1.4386060E+002,-3.6097992E+001,-1.7022553E-002,-1.4731607E+001,-9.5934878E-003, 3.7453033E+001, 0.0000000E+000, 1.3047865E+002, 1.3045742E+002, 0.0000000E+000, 3.2109457E-003, 0.0000000E+000, 9.0787406E+003
 1.0012959E+001, 1.4452373E+002,-3.7170931E+001,-1.7122027E-002,-1.5804033E+001,-9.5254973E-003, 3.6707779E+001, 0.0000000E+000, 1.2826407E+002, 1.2822990E+002, 0.0000000E+000, 3.2109460E-003, 0.0000000E+000, 1.0110116E+004
 1.1001564E+001, 1.4381569E+002,-3.7101240E+001,-1.7048465E-002,-1.6685872E+001,-9.5593635E-003, 3.6169265E+001, 0.0000000E+000, 1.2619081E+002, 1.2617124E+002, 0.0000000E+000, 3.2109460E-003, 0.0000000E+000, 1.1105714E+004
 1.2000321E+001, 1.4418714E+002,-3.7534414E+001,-1.7046640E-002,-1.7590701E+001,-9.5634667E-003, 3.5776621E+001, 0.0000000E+000, 1.2480057E+002, 1.2481204E+002, 0.0000000E+000, 3.2109460E-003, 0.0000000E+000, 1.2100474E+004
 1.3001904E+001, 1.4407554E+002,-3.8102786E+001,-1.7102929E-002,-1.8581241E+001,-9.5442106E-003, 3.5085177E+001, 0.0000000E+000, 1.2247493E+002, 1.2245005E+002, 0.0000000E+000, 3.2109460E-003, 0.0000000E+000, 1.3078916E+004
 1.4009328E+001, 1.4377402E+002,-3.8556045E+001,-1.7121454E-002,-1.9137793E+001,-9.4638997E-003, 3.4488306E+001, 0.0000000E+000, 1.2057416E+002, 1.2054190E+002, 0.0000000E+000, 3.2109460E-003, 0.0000000E+000, 1.4046387E+004
 1.5012784E+001, 1.4393418E+002,-3.9019184E+001,-1.7053751E-002,-2.0877079E+001,-9.5623217E-003, 3.3736947E+001, 0.0000000E+000, 1.1776938E+002, 1.1774825E+002, 0.0000000E+000, 3.2109460E-003, 0.0000000E+000, 1.4989016E+004
 1.6008524E+001, 1.4447625E+002,-3.9519325E+001,-1.6983437E-002,-2.1725724E+001,-9.6588037E-003, 3.3419812E+001, 0.0000000E+000, 1.1663366E+002, 1.1662437E+002, 0.0000000E+000, 3.2109460E-003, 0.0000000E+000, 1.5915522E+004
 1.7012848E+001, 1.4403018E+002,-3.9940645E+001,-1.7018133E-002,-2.2500584E+001,-9.6123910E-003, 3.2732946E+001, 0.0000000E+000, 1.1431034E+002, 1.1429527E+002, 0.0000000E+000, 3.2109460E-003, 0.0000000E+000, 1.6830856E+004
 1.8010677E+001, 1.4429517E+002,-4.0756918E+001,-1.7061342E-002,-2.3465752E+001,-9.5396714E-003, 3.2037615E+001, 0.0000000E+000, 1.1209657E+002, 1.1208351E+002, 0.0000000E+000, 3.2109460E-003, 0.0000000E+000, 1.7720940E+004
 1.9009420E+001, 1.4355629E+002,-4.0750366E+001,-1.7007617E-002,-2.4673534E+001,-9.5898597E-003, 3.1367335E+001, 0.0000000E+000, 1.0949618E+002, 1.0947313E+002, 0.0000000E+000, 3.2109460E-003, 0.0000000E+000, 1.8593307E+004
